cidade_slug,cidade_origem,tecnologia,mes_ref,total_vendedores,q1,q2,q3,q4,q5,sem_meta,atingimento_medio,quintil_cidade
santa-rita-pb,SANTA RITA/PB,5g,2026-01-01,7,2,0,0,0,0,5,1.7253,1
santo-amaro-ba,SANTO AMARO/BA,ftth,2026-01-01,1,1,0,0,0,0,0,1.3846,1
sao-benedito-ce,SAO BENEDITO/CE,ftth,2026-01-01,3,0,0,0,2,1,0,0.3444,4
sao-benedito-ce,SAO BENEDITO/CE,5g,2026-01-01,3,2,0,0,1,0,0,0.9884,2
sao-bento-pb,SAO BENTO/PB,ftth,2026-01-01,1,1,0,0,0,0,0,1.7727,1
sao-bento-pb,SAO BENTO/PB,5g,2026-01-01,1,1,0,0,0,0,0,1.22,1
sao-goncalo-do-amarante-rn,SAO GONCALO DO AMARANTE/RN,ftth,2026-01-01,2,0,0,0,2,0,0,0.5179,4
sao-jose-de-mipibu-rn,SAO JOSE DE MIPIBU/RN,ftth,2026-01-01,4,1,0,1,0,1,1,0.5847,4
sao-jose-de-mipibu-rn,SAO JOSE DE MIPIBU/RN,5g,2026-01-01,4,2,0,0,0,1,1,1.0524,1
sao-miguel-dos-campos-al,SAO MIGUEL DOS CAMPOS/AL,ftth,2026-01-01,2,1,1,0,0,0,0,1.3125,1
sao-miguel-rn,SAO MIGUEL/RN,ftth,2026-01-01,6,1,0,0,4,1,0,0.4715,4
sao-miguel-rn,SAO MIGUEL/RN,5g,2026-01-01,6,3,1,0,1,1,0,0.7333,3
senador-pompeu-ce,SENADOR POMPEU/CE,ftth,2026-01-01,4,2,1,0,1,0,0,0.8833,2
senador-pompeu-ce,SENADOR POMPEU/CE,5g,2026-01-01,4,3,1,0,0,0,0,2.7472,1
serra-talhada-pe,SERRA TALHADA/PE,ftth,2026-01-01,5,0,0,1,3,0,1,0.5692,4
serra-talhada-pe,SERRA TALHADA/PE,5g,2026-01-01,5,0,1,0,0,0,4,0.963,2
sobral-ce,SOBRAL/CE,ftth,2026-01-01,14,6,3,2,3,0,0,0.9212,2
sobral-ce,SOBRAL/CE,5g,2026-01-01,14,2,1,1,0,1,9,0.9069,2
sousa-pb,SOUSA/PB,ftth,2026-01-01,5,0,3,0,1,1,0,0.7055,3
sousa-pb,SOUSA/PB,5g,2026-01-01,5,1,0,1,1,0,2,0.7111,3
surubim-pe,SURUBIM/PE,ftth,2026-01-01,2,0,0,0,2,0,0,0.4,4
tabuleiro-do-norte-ce,TABULEIRO DO NORTE/CE,ftth,2026-01-01,3,2,1,0,0,0,0,1.3148,1
tabuleiro-do-norte-ce,TABULEIRO DO NORTE/CE,5g,2026-01-01,3,2,0,1,0,0,0,0.9533,2
taua-ce,TAUA/CE,ftth,2026-01-01,4,2,1,1,0,0,0,0.941,2
taua-ce,TAUA/CE,5g,2026-01-01,4,1,1,1,1,0,0,1.1115,1
teresina-pi,TERESINA/PI,ftth,2026-01-01,26,6,6,5,6,3,0,0.7172,3
teresina-pi,TERESINA/PI,5g,2026-01-01,26,4,0,0,0,0,22,1.6581,1
tiangua-ce,TIANGUA/CE,ftth,2026-01-01,5,2,1,0,0,2,0,0.7579,3
tiangua-ce,TIANGUA/CE,5g,2026-01-01,5,2,0,0,0,0,3,1.125,1
timon-ma,TIMON/MA,ftth,2026-01-01,7,0,0,3,3,0,1,0.5719,4
timon-ma,TIMON/MA,5g,2026-01-01,7,1,0,0,0,0,6,1.2308,1
tobias-barreto-se,TOBIAS BARRETO/SE,ftth,2026-01-01,1,1,0,0,0,0,0,1.5,1
toritama-pe,TORITAMA/PE,ftth,2026-01-01,5,3,1,1,0,0,0,0.9714,2
toritama-pe,TORITAMA/PE,5g,2026-01-01,5,0,0,1,0,0,4,0.7826,3
ubajara-ce,UBAJARA/CE,ftth,2026-01-01,2,1,0,0,1,0,0,1,1
ubajara-ce,UBAJARA/CE,5g,2026-01-01,2,1,0,0,1,0,0,0.6875,3
uirauna-pb,UIRAUNA/PB,ftth,2026-01-01,4,1,0,1,1,1,0,0.6944,3
uirauna-pb,UIRAUNA/PB,5g,2026-01-01,4,1,1,1,1,0,0,0.8096,2
umarizal-rn,UMARIZAL/RN,ftth,2026-01-01,2,1,0,1,0,0,0,1.1667,1
umarizal-rn,UMARIZAL/RN,5g,2026-01-01,2,1,0,0,0,1,0,0.5577,4
varzea-alegre-ce,VARZEA ALEGRE/CE,ftth,2026-01-01,5,0,1,1,2,1,0,0.5378,4
varzea-alegre-ce,VARZEA ALEGRE/CE,5g,2026-01-01,5,1,1,1,0,2,0,0.5106,4
vicosa-do-ceara-ce,VICOSA DO CEARA/CE,ftth,2026-01-01,2,1,0,1,0,0,0,1.0938,1
vitoria-de-santo-antao-pe,VITORIA DE SANTO ANTAO/PE,ftth,2026-01-01,2,1,0,0,0,1,0,0.7813,3
acarau-ce,ACARAU/CE,ftth,2026-02-01,5,1,3,0,1,0,0,0.8817,2
acarau-ce,ACARAU/CE,5g,2026-02-01,5,3,0,0,2,0,0,0.94,2
acopiara-ce,ACOPIARA/CE,ftth,2026-02-01,4,1,1,0,2,0,0,0.675,3
acopiara-ce,ACOPIARA/CE,5g,2026-02-01,4,1,0,1,2,0,0,0.6429,3
acu-rn,ACU/RN,ftth,2026-02-01,4,0,0,1,1,1,1,0.451,4
